pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
248,581,244,523,29.0,78.0
273,818,253,731,29.0,78.0
444,1775,433,1604,29.0,78.0
638,1509,658,1346,29.0,78.0
664,1170,668,1048,29.0,78.0
953,1617,992,1498,29.0,78.0
722,1790,748,1614,29.0,78.0
133,650,144,582,29.0,77.0
358,1400,334,1240,29.0,79.0
323,944,303,839,29.0,79.0
602,2300,641,2101,29.0,74.0
15,100,15,92,29.0,77.0
48,326,49,290,29.0,77.0
108,972,104,864,29.0,77.0
66,302,61,266,29.0,77.0
130,959,127,864,29.0,77.0
174,1398,180,1282,29.0,77.0
103,888,105,814,29.0,77.0
138,997,124,907,29.0,77.0
79,522,72,456,29.0,75.0
155,1091,152,946,29.0,75.0
206,1446,179,1260,29.0,75.0
238,1537,217,1322,29.0,75.0
185,1406,156,1244,29.0,75.0
72,508,75,451,29.0,75.0
191,1128,174,972,29.0,75.0
629,1247,604,1076,29.0,78.0
242,1039,208,919,29.0,77.0
381,1287,392,1165,29.0,75.0
142,967,136,856,29.0,77.0
450,1230,404,1078,29.0,74.0
140,531,161,497,29.0,74.0
302,1000,283,898,29.0,79.0
404,1334,357,1170,29.0,79.0
1097,1222,1063,1189,22.0,59.0
406,464,393,447,22.0,59.0
698,807,673,769,22.0,59.0
1212,1417,1167,1367,1.0,62.0
456,511,433,486,1.0,62.0
650,805,587,738,1.0,62.0
1348,1725,1264,1640,1.0,62.0
1107,1322,1060,1260,1.0,62.0
781,1022,725,961,1.0,62.0
538,763,505,719,1.0,62.0
624,725,571,678,1.0,62.0
271,323,259,310,1.0,62.0
1908,3225,2079,3154,17.0,26.0
1733,2985,1847,2873,18.0,26.0
3277,4488,3478,4414,17.0,26.0
1560,2388,1738,2314,17.0,26.0
1330,2202,1495,2106,17.0,28.0
197,1209,200,1180,13.0,27.0
495,1742,564,1692,13.0,27.0
1496,3127,1719,2990,17.0,85.0
542,1470,627,1385,18.0,85.0
848,1989,964,1916,13.0,85.0
953,1935,1055,1850,17.0,76.0
517,1035,551,949,18.0,28.0
383,693,410,674,17.0,28.0
705,1237,758,1174,17.0,28.0
257,3716,271,3694,13.0,27.0
1623,2547,1750,2474,17.0,26.0
340,863,337,825,13.0,27.0
699,2156,767,2096,13.0,27.0
72,244,77,238,13.0,27.0
201,536,196,518,13.0,27.0
1246,2799,1392,2712,13.0,27.0
765,1855,858,1772,13.0,27.0
436,1565,434,1520,13.0,27.0
1522,2135,1572,2032,17.0,76.0
423,1848,459,1795,13.0,27.0
98,291,97,269,13.0,27.0
36,178,39,175,13.0,27.0
123,1148,117,1131,13.0,27.0
76,315,83,307,13.0,27.0
416,1369,425,1306,13.0,76.0
311,347,291,329,1.0,62.0
1668,1896,1567,1798,5.0,13.0
309,363,309,354,5.0,13.0
70,493,66,474,11.0,23.0
894,1916,847,1773,11.0,23.0
1001,1586,946,1517,11.0,23.0
346,470,326,462,11.0,23.0
1431,2141,1333,1980,11.0,23.0
282,641,276,621,11.0,23.0
370,683,346,657,11.0,24.0
1023,1468,968,1384,11.0,24.0
1523,1844,1396,1761,11.0,24.0
627,1114,590,1070,11.0,23.0
83,197,78,188,11.0,24.0
2960,4168,2981,3970,11.0,24.0
2321,3388,2352,3257,11.0,24.0
1676,2010,1578,1924,11.0,24.0
98,131,91,125,11.0,24.0
727,1286,716,1220,11.0,23.0
924,1277,904,1202,11.0,23.0
1270,1486,1147,1415,11.0,24.0
1376,1667,1269,1572,11.0,24.0
253,1337,246,1318,11.0,24.0
1674,2468,1704,2391,11.0,24.0
64,85,62,76,11.0,24.0
0,0,0,0,11.0,23.0
725,1857,672,1792,11.0,23.0
497,1429,451,1386,11.0,23.0
249,2401,246,2388,11.0,24.0
0,0,0,0,11.0,24.0
2133,2768,2241,2744,11.0,24.0
2197,3088,2221,2932,11.0,24.0
827,1270,819,1206,11.0,24.0
2710,3473,2760,3351,11.0,24.0
2192,2801,2225,2720,11.0,24.0
1343,1860,1376,1812,11.0,23.0
568,711,529,683,4.0,23.0
442,538,391,493,4.0,23.0
0,0,0,0,13.0,142.0
798,1399,768,1335,3.0,21.0
156,179,153,172,30.0,68.0
944,1122,935,1102,18.0,16.0
461,863,431,810,1.0,5.0
0,0,0,0,12.0,98.0
230,266,202,238,3.0,9.0
1262,2073,1292,1942,5.0,52.0
1740,3341,1722,3043,24.0,20.0
2534,3243,2482,3067,5.0,20.0
662,886,639,828,5.0,20.0
1453,2015,1448,1897,5.0,52.0
808,1539,810,1396,24.0,20.0
1471,1963,1478,1866,5.0,20.0
607,1565,633,1398,24.0,136.0
1018,2628,1044,2358,24.0,136.0
1105,2330,1142,2152,24.0,20.0
523,1235,523,1136,5.0,136.0
894,2029,900,1897,5.0,136.0
1464,2724,1475,2528,24.0,20.0
1111,1997,1113,1830,24.0,20.0
1262,2376,1313,2218,5.0,52.0
1473,2894,1513,2695,5.0,52.0
1429,3036,1441,2797,5.0,52.0
1862,3527,1969,3300,5.0,52.0
787,1784,888,1656,24.0,136.0
2309,3159,2363,3035,5.0,20.0
1193,1858,1248,1730,25.0,122.0
